Clicks_Plus_Leads,Clicks,Leads,Revenue
3020,2425,595,140740
11464,8195,3269,676460
9170,6273,2897,388365
5334,3733,1601,321936
5108,3655,1453,261020
2076,1315,761,162450
11882,8059,3823,832602
1351,1123,228,52200
3760,2513,1247,111520
7210,5531,1679,159046
3041,2514,527,213231
4697,2937,1760,624124
11978,9095,2883,463684
7819,5225,2594,259368
1802,1263,539,116974
4311,2820,1491,459669
1891,1540,351,93818
3810,2423,1387,694032
670,477,193,42441
8459,6159,2300,255248
5474,4234,1240,319472
2975,1949,1026,286925
13585,9175,4410,1766793
5298,3505,1793,751800
7534,6138,1396,446898
3504,2392,1112,340430
12700,10243,2457,271082
4463,3442,1021,297168
3448,2682,766,149634
1441,1024,417,170610
8541,5490,3051,982940
10358,7037,3321,569981
6521,4522,1999,591240
3261,2337,924,86152
3118,2351,767,153216
3343,2627,716,178450
18317,13381,4936,1393346
4981,3450,1531,230724
5613,3641,1972,482664
1767,1253,514,206976
10415,8323,2092,533750
10022,6946,3076,1475866
5498,3970,1528,536965
4783,3232,1551,170775
17741,13029,4712,1463168
4577,3091,1486,500535
2304,1653,651,112518
5334,3716,1618,182500
4796,3390,1406,216776
7829,5336,2493,280830
14748,10498,4250,1620369
8271,6343,1928,447600
7458,4731,2727,439930
3786,2909,877,240120
8613,6386,2227,298200
2936,1886,1050,126351
9578,6629,2949,743512
13503,9341,4162,737280
5519,4033,1486,322000
2892,2108,784,195286
1011,678,333,72782
18050,11282,6768,3520822
2137,1371,766,80320
4821,3443,1378,727984
6514,5119,1395,482680
314,247,67,16944
5057,3832,1225,525358
2414,1524,890,321216
2259,1434,825,182664
4627,3739,888,312214
2267,1715,552,119097
8136,6645,1491,220745
1155,913,242,118408
13598,8972,4626,936576
3065,2469,596,263856
3117,2184,933,217665
1532,1008,524,244296
11416,7300,4116,903792
9170,6057,3113,823832
17413,11146,6267,1825776
8265,6530,1735,396951
8550,6000,2550,510040
958,638,320,131306
3689,2463,1226,232596
14732,11858,2874,869271
3566,2701,865,113590
3805,3122,683,52056
4423,2914,1509,261807
10639,6835,3804,918575
9381,6239,3142,1151864
16252,10352,5900,1855328
5581,3589,1992,643632
14316,9147,5169,1595492
5084,3987,1097,146187
3105,2514,591,94163
3337,2458,879,126024
4736,3379,1357,666590
11050,7740,3310,596207
519,354,165,43920
2795,1915,880,110538
538,447,91,15750
1310,1026,284,91540
8355,6063,2292,258272
10548,8697,1851,192231
9498,6018,3480,1707980
11558,9058,2500,863927
7987,5684,2303,500256
5005,4002,1003,167388
11090,8575,2515,577066
5593,4145,1448,175182
7481,4858,2623,1422864
9753,7787,1966,688820
13360,9536,3824,525990
7981,6096,1885,416053
12123,9451,2672,297246
958,778,180,103480
3478,2340,1138,249591
4410,2798,1612,159850
3665,2906,759,140248
4582,3387,1195,234324
11403,8946,2457,230724
1888,1477,411,100695
17859,11279,6580,2544395
6387,4401,1986,347601
8793,5636,3157,984096
2535,1684,851,200658
2074,1656,418,106296
3274,2271,1003,340480
14267,11715,2552,653310
1616,1212,404,159666
8309,5643,2666,628144
1478,1131,347,144440
1932,1411,521,68040
12927,9840,3087,484753
2610,1891,719,146556
16062,10119,5943,924000
3587,2586,1001,250432
9254,7148,2106,240792
4897,3144,1753,432920
11142,7824,3318,915860
1081,769,312,37349
4784,3949,835,228816
2217,1390,827,171120
4029,2654,1375,128499
3642,2735,907,145410
4838,3970,868,229008
7756,5140,2616,1391984
1846,1509,337,44034
5022,3344,1678,402192
3736,2922,814,402750
15940,10162,5778,744650
1929,1374,555,171720
15895,10315,5580,2564984
4874,3230,1644,422220
7550,5648,1902,1080750
4587,3188,1399,605784
3817,3129,688,140140
13365,8903,4462,1106784
1039,754,285,62496
4181,3455,726,425257
9174,6523,2651,1406369
4545,2887,1658,423852
5185,3549,1636,354438
12245,7952,4293,513040
4124,2971,1153,429875
16763,12246,4517,978948
4125,3391,734,167420
2584,2153,431,117832
3839,2793,1046,104960
9026,6363,2663,883949
14623,9186,5437,1003765
8668,6039,2629,1154862
1258,842,416,119574
6876,5680,1196,132240
15234,10130,5104,620334
3122,2100,1022,237986
9285,5854,3431,675132
8391,6343,2048,282370
8848,6205,2643,504504
3644,2995,649,238288
2657,2054,603,271743
2511,1914,597,236285
6490,5207,1283,429088
12068,8990,3078,814740
1753,1294,459,90095
8145,5181,2964,531432
2678,2197,481,211546
2723,1757,966,157080
8556,6239,2317,393760
2724,2103,621,223440
16856,10868,5988,2031757
10216,8418,1798,483000
6047,4227,1820,439856
7950,5518,2432,754236
1646,1150,496,107503
6505,5206,1299,646032
2883,1895,988,150612
11528,7682,3846,545136
11679,9218,2461,959334
9787,6410,3377,458568
1657,1267,390,150420
3914,3255,659,82455
8998,5866,3132,371420
4588,3031,1557,823244
10019,7992,2027,289940
14773,10499,4274,1168025
1479,987,492,111996
4167,3297,870,358995
617,510,107,30299
6405,4555,1850,257796
6298,3981,2317,765408
15304,11465,3839,639930
7036,5015,2021,268830
5080,3871,1209,422712
6223,4238,1985,262656
6529,4359,2170,695044
13050,10177,2873,521768
3536,2421,1115,502030
3535,2847,688,288834
3054,2279,775,138852
7955,5419,2536,719739
7986,5755,2231,217115
8687,5613,3074,580692
2274,1536,738,79299
11942,7738,4204,848421
4495,3084,1411,253924
3299,2497,802,151348
14614,12059,2555,773045
4460,2987,1473,316443
1899,1443,456,67805
7418,4867,2551,1320747
14586,9388,5198,2050050
849,706,143,18172
8237,5531,2706,1105804
2790,1933,857,253648
6125,3956,2169,728325
4236,3525,711,260100
8422,6264,2158,999119
11501,8732,2769,696808
7183,5210,1973,537648
7461,5310,2151,331835
15488,11402,4086,1205343
11456,8082,3374,810040
4307,2914,1393,658833
976,667,309,65826
14459,9507,4952,1244250
2037,1341,696,276055
2132,1695,437,49946
2061,1488,573,242722
2977,1912,1065,172425
8705,6107,2598,1340864
7508,5349,2159,765612
10645,7427,3218,1276535
1245,828,417,92587
3703,2577,1126,530312
1252,963,289,64277
1924,1272,652,242553
2086,1397,689,140967
5846,4612,1234,436789
1571,1001,570,105559
6497,5228,1269,496120
12624,8255,4369,939808
9897,7253,2644,787815
3092,2281,811,203445
8372,6675,1697,270413
11411,7234,4177,490875
10676,8677,1999,282528
6285,4064,2221,651420
8357,6290,2067,529818
11094,6988,4106,786424
14831,10815,4016,838794
12341,9019,3322,546427
12015,9350,2665,838071
9114,6637,2477,348634
1271,1024,247,86940
2874,2139,735,176279
2722,2143,579,317191
1853,1176,677,190680
2664,1686,978,177775
1748,1102,646,298146
8963,6442,2521,810081
9696,7006,2690,550732
2164,1484,680,312017
5917,4410,1507,138320
4925,3455,1470,825552
6460,4786,1674,520695
1139,843,296,71890
967,682,285,88560
10330,7729,2601,1093696
11859,8535,3324,862190
4052,3165,887,322500
11176,8481,2695,1578186
3001,2074,927,224073
9207,5889,3318,326606
7728,5231,2497,698985
1849,1232,617,171920
12772,8106,4666,1032099
7750,6284,1466,339584
5225,3794,1431,595467
1377,941,436,93863
1771,1455,316,27494
19419,12191,7228,2557500
2919,1933,986,294224
7530,5429,2101,462890
4012,3058,954,74060
16921,11345,5576,1866759
8625,5782,2843,1723560
6407,4621,1786,551426
17616,11704,5912,1717836
8475,6729,1746,244640
5685,3778,1907,1047738
9847,8177,1670,224700
1288,857,431,102147
5350,4170,1180,113032
1521,1001,520,209442
11474,7431,4043,422964
1446,960,486,59850
7629,6329,1300,508896
12842,8772,4070,1493314
6454,4308,2146,248496
7457,5637,1820,180320
1821,1199,622,181335
9306,6470,2836,833742
7513,6191,1322,390241
3395,2463,932,234000
960,715,245,97197
5456,4092,1364,455994
11585,8024,3561,231889
3089,2414,675,143877
1797,1131,666,65475
7536,5282,2254,1068012
3536,2583,953,437019
12745,8510,4235,1498473
8185,6339,1846,495635
7814,5389,2425,612522
7000,5085,1915,368896
2130,1334,796,112299
2439,2014,425,172620
9190,7265,1925,526838
2550,2051,499,71253
8360,6805,1555,476933
8855,5885,2970,340105
3282,2304,978,155248
8865,6162,2703,381634
9537,7120,2417,374245
4530,3456,1074,363392
9494,6965,2529,616174
3901,2686,1215,286944
4068,2614,1454,129024
5875,4009,1866,358197
12292,7782,4510,903105
2923,2124,799,139125
5425,4443,982,119274
10824,8426,2398,1182522
3215,2578,637,93170
3956,2685,1271,352836
9525,6790,2735,640080
8308,6515,1793,611340
5288,3999,1289,521894
1341,1077,264,64269
10224,7281,2943,378162
3704,2333,1371,416880
7947,6405,1542,527142
9442,7272,2170,589577
1429,1063,366,77085
7397,4739,2658,1634599
10283,7530,2753,543291
10831,8964,1867,206724
3328,2702,626,140358
3104,2104,1000,521850
1399,1151,248,101473
17635,11785,5850,865356
1482,1212,270,113004
7468,4939,2529,704740
4779,3383,1396,363068
16511,11902,4609,1357020
4460,3010,1450,544394
7090,4531,2559,728854
2503,2075,428,189394
1711,1091,620,61568
2957,2137,820,275377
4123,3288,835,98898
547,437,110,58598
10909,8615,2294,781326
2186,1449,737,216192
2574,1616,958,124400
4530,3493,1037,141966
4859,3409,1450,835518
10555,7402,3153,992376
6934,5510,1424,477880
5468,3647,1821,377607
4525,3232,1293,298706
4947,3381,1566,496288
11380,8407,2973,657646
10536,8635,1901,618460
4446,3533,913,204006
11477,9536,1941,719264
2454,1654,800,107976
6073,3960,2113,1076160
4360,3015,1345,432450
12938,8132,4806,1637610
9768,7074,2694,784404
9927,6392,3535,426309
11631,7664,3967,1139670
10460,6796,3664,671636
4206,2797,1409,221550
894,716,178,58563
4193,2825,1368,250002
6406,5105,1301,322245
2181,1367,814,243144
829,612,217,93600
6434,5317,1117,589182
7499,5184,2315,264252
2331,1810,521,88494
3694,2467,1227,585170
12876,8233,4643,446332
12278,8514,3764,1385472
3980,2772,1208,271329
2936,1979,957,349811
9118,5960,3158,1601490
4518,3624,894,429084
6619,4455,2164,341950
2229,1469,760,168192
7022,4481,2541,353732
5178,4309,869,238560
3675,2757,918,183180
9774,6471,3303,545490
3916,2813,1103,340268
1486,951,535,188046
15873,12842,3031,778362
2823,2331,492,119547
15335,10039,5296,512097
1918,1597,321,131835
7803,5368,2435,893040
10915,8938,1977,859897
4481,2884,1597,818514
7463,5242,2221,1189134
5313,3448,1865,546100
4531,3614,917,211636
10600,7205,3395,404808
3793,2732,1061,131670
13337,9843,3494,984960
15391,12594,2797,955835
1359,1103,256,72050
2337,1878,459,134121
11704,7704,4000,1062360
10925,6889,4036,849858
4236,3286,950,175240
3433,2420,1013,434259
16460,10861,5599,856125
4224,3128,1096,372690
4448,3633,815,234794
4434,3088,1346,183785
1129,800,329,178816
5869,4200,1669,566904
8427,6214,2213,683825
4448,3034,1414,737838
2998,2018,980,267734
1869,1532,337,112347
3095,2480,615,59160
8254,5415,2839,610944
4901,3395,1506,725994
1271,969,302,134871
1760,1182,578,69692
4308,2866,1442,147936
2643,1804,839,259584
9857,6375,3482,796650
6112,4532,1580,244800
8482,5841,2641,433472
11838,8639,3199,1431487
4021,3228,793,81620
3346,2136,1210,365135
1374,1008,366,98044
3096,2253,843,273258
6758,4490,2268,344400
13858,10438,3420,971496
6004,4680,1324,262548
4201,3231,970,214557
13067,8996,4071,1434954
10005,8041,1964,299495
7387,5873,1514,649438
1274,815,459,143022
2365,1552,813,316360
2415,1986,429,202230
1120,882,238,40470
7092,4599,2493,669942
8307,6606,1701,956928
12290,8244,4046,427440
5958,3781,2177,509627
2846,1825,1021,340032
1441,920,521,122180
17268,12138,5130,878163
3428,2635,793,405876
3823,3024,799,287448
5494,3562,1932,313500
1790,1479,311,128592
3201,2212,989,290334
6770,5591,1179,307998
2010,1438,572,87174
1615,1241,374,61152
8958,5867,3091,680169
2118,1692,426,223636
2450,1866,584,222651
4699,3222,1477,297558
1869,1542,327,97340
4789,3991,798,282150
7186,4849,2337,831168
4380,3305,1075,370762
4575,3268,1307,670892
2836,2018,818,87327
10066,6577,3489,578336
6954,4732,2222,416900
4747,3495,1252,281012
5332,3437,1895,337757
5863,4175,1688,491040
993,772,221,14807
13478,9092,4386,1944766
4095,2746,1349,391004
15138,11138,4000,1396917
13021,9112,3909,1033634
2202,1567,635,64974
1683,1272,411,70437
6373,4471,1902,567936
8992,7431,1561,493696
2738,1785,953,454152
12934,8512,4422,626520
5304,4373,931,234179
4223,2953,1270,342144
10319,8522,1797,572900
6216,4514,1702,517880
11286,7616,3670,1446035
6369,4836,1533,392832
11929,7627,4302,1090872
15635,10612,5023,1273266
4162,2911,1251,300354
3544,2420,1124,295501
13242,9625,3617,829668
4795,3148,1647,332488
4682,3310,1372,669980
5174,3617,1557,649788
11703,7754,3949,1060116
4290,3417,873,116675
3883,2520,1363,218622
9071,7428,1643,118699
2672,1993,679,98800
3317,2683,634,104720
6818,5508,1310,517377
6690,5210,1480,230171
4039,2774,1265,479283
1308,920,388,80352
3860,3095,765,249096
17813,13063,4750,912286
1653,1189,464,155818
1876,1529,347,47121
6359,4227,2132,238917
2319,1589,730,137472
5306,3762,1544,588456
3232,2362,870,192879
5997,4532,1465,143872
5125,3595,1530,444744
10288,8550,1738,515504
9617,7708,1909,1056316
8752,5553,3199,470893
8247,5988,2259,729950
6515,5122,1393,255116
3194,2402,792,186466
888,582,306,78184
6935,4693,2242,526661
12989,9617,3372,501428
7701,5986,1715,288273
7713,5728,1985,570623
1597,1294,303,95823
13379,9376,4003,805185
12620,8041,4579,2350088
12364,7992,4372,2098888
4045,2590,1455,121670
14345,10441,3904,473928
9324,6138,3186,472804
14603,9726,4877,1380338
5377,4094,1283,242355
1700,1240,460,202048
5473,3640,1833,310464
2127,1747,380,84960
4404,2994,1410,249417
6660,4572,2088,461922
2144,1615,529,241927
6349,4352,1997,397296
2536,1787,749,66990
5838,4592,1246,350052
4250,2887,1363,443750
14162,9786,4376,1904285
8586,6574,2012,506656
14301,9762,4539,749012
5816,4151,1665,492880
10171,6780,3391,342378
5118,4101,1017,496422
7925,5933,1992,467400
6693,4691,2002,880382
5383,4384,999,408450
16317,11904,4413,1109520
7237,5722,1515,245070
10568,7945,2623,1163908
7532,4839,2693,843898
1735,1088,647,143956
2091,1700,391,72450
1587,1160,427,217617
2624,1734,890,259692
7633,6065,1568,643839
2389,1675,714,71815
2479,1593,886,307131
2712,2132,580,331429
2298,1461,837,249690
1425,1106,319,94165
9724,6497,3227,1234800
4841,3810,1031,305422
9653,6170,3483,961537
8333,6466,1867,961350
1890,1376,514,246350
9709,6190,3519,1554315
12831,8802,4029,564276
5710,3702,2008,311049
6201,4460,1741,271656
9847,7862,1985,314600
8053,5677,2376,683298
6546,4252,2294,692160
6837,4826,2011,291096
8673,5619,3054,1202064
4340,2768,1572,395752
4363,3097,1266,310800
9841,7166,2675,373290
4419,2936,1483,466993
14099,10190,3909,673836
5070,3365,1705,330057
6672,5068,1604,892032
10944,8167,2777,1233180
3311,2193,1118,322635
7780,5411,2369,597930
8668,5932,2736,656837
3081,2290,791,174309
1656,1366,290,147870
532,411,121,52731
5326,3359,1967,264845
4786,3588,1198,288600
10008,7695,2313,1172360
5307,3739,1568,363549
5127,3641,1486,198129
5865,4155,1710,681462
4830,3786,1044,255500
12961,8224,4737,2518362
6189,4102,2087,493500
5752,4207,1545,336195
22307,14549,7758,1429036
877,605,272,104748
3937,3184,753,165044
3547,2290,1257,450735
5342,4162,1180,272993
782,525,257,146264
3120,1952,1168,652832
10358,8337,2021,608364
1723,1160,563,64467
5052,3434,1618,751623
1812,1302,510,150094
4477,3657,820,220851
6053,4242,1811,877767
7220,4732,2488,1432485
4592,2871,1721,515242
4156,3010,1146,379478
7122,4573,2549,839433
7899,5202,2697,467544
9233,6986,2247,393372
9924,7658,2266,286778
7159,5634,1525,663940
10413,6634,3779,1027872
8133,5430,2703,833612
2404,1553,851,116732
5419,3833,1586,624757
3951,2958,993,241824
7334,5534,1800,252784
5583,4425,1158,417536
4330,3255,1075,193772
7540,5194,2346,667381
14450,10818,3632,694260
3722,2611,1111,218530
4979,3565,1414,168057
2732,1835,897,229284
9743,7610,2133,1242216
9675,8034,1641,399090
5758,3954,1804,439331
12466,7794,4672,1709708
11858,8560,3298,733905
2324,1605,719,112888
4474,3151,1323,194816
9072,6452,2620,399265
3537,2665,872,158700
4896,3747,1149,284710
931,654,277,72956
6294,5107,1187,221540
10993,8943,2050,695739
7912,5023,2889,561867
2869,2122,747,131246
3343,2610,733,148764
1260,850,410,202230
4622,3518,1104,631014
2733,2134,599,158472
4597,3295,1302,425536
4249,3442,807,184842
8785,6805,1980,770412
8233,6573,1660,328328
4377,3075,1302,389187
13541,9081,4460,1099890
1485,942,543,142614
9451,5933,3518,1631450
3937,2927,1010,203944
7650,6108,1542,764385
2909,2183,726,70060
2831,2255,576,126283
7150,5564,1586,382161
10060,6584,3476,795990
2939,2403,536,39919
8407,5849,2558,1226750
19416,13388,6028,1475874
15800,9910,5890,2127288
8918,6883,2035,364375
7413,4668,2745,228760
2037,1610,427,88780
10019,8010,2009,727038
8405,6478,1927,666528
5620,3723,1897,519816
4213,3435,778,248031
4698,3242,1456,385801
9709,6822,2887,619938
1239,829,410,170544
5763,4485,1278,319396
11274,9361,1913,391395
11525,7861,3664,1076868
13037,9327,3710,587197
1817,1252,565,126895
5809,3842,1967,323244
6434,4103,2331,619464
5828,3665,2163,738679
1251,900,351,56718
17089,13340,3749,2033532
2426,1522,904,187407
13722,8998,4724,2372722
5988,4100,1888,589457
3663,2666,997,433557
2250,1635,615,116994
913,579,334,62050
5526,4028,1498,321021
5446,4406,1040,288189
6786,5620,1166,506880
5074,3711,1363,206769
3180,2092,1088,491232
1817,1296,521,114080
2071,1668,403,144342
13943,8899,5044,1975229
2935,2395,540,71685
9766,7438,2328,238596
3402,2690,712,149994
4484,3116,1368,143640
1951,1350,601,310758
3899,3203,696,100320
2149,1692,457,81090
5214,3769,1445,709722
3051,2298,753,301920
12577,8357,4220,1094112
8193,6351,1842,460530
16822,11949,4873,2001251
1710,1121,589,283613
14674,11988,2686,588777
5500,4454,1046,179280
2095,1543,552,118976
6306,5144,1162,303416
11112,8506,2606,999400
1776,1369,407,164084
3133,2404,729,142720
12730,9551,3179,750092
5425,4239,1186,474103
3563,2411,1152,521520
3764,2582,1182,418278
5806,4306,1500,418557
7604,6251,1353,718290
5725,3614,2111,1223725
2246,1412,834,350960
7221,4769,2452,807576
8096,5370,2726,322196
3884,2731,1153,339486
12183,7798,4385,2235135
3626,2741,885,87576
1807,1360,447,164604
3539,2467,1072,274707
13270,9881,3389,952200
1023,649,374,74466
6203,4498,1705,174930
3575,2766,809,183429
1025,747,278,97000
12384,10074,2310,745380
5290,4183,1107,235898
2369,1863,506,204400
6114,4152,1962,469315
11795,8522,3273,520536
8254,6089,2165,412080
7610,5091,2519,680472
10717,8852,1865,938223
3301,2257,1044,254795
843,549,294,64714
8905,6979,1926,182700
10637,6939,3698,1057185
752,549,203,46371
10834,8220,2614,888832
2811,1968,843,416340
6925,5589,1336,210816
6455,4344,2111,418132
13019,9060,3959,2242614
2855,2034,821,166920
2694,2047,647,142002
9567,6740,2827,835252
6747,4230,2517,238914
20211,14099,6112,2376900
880,667,213,101780
5732,4075,1657,523072
9636,6712,2924,956580
10055,7325,2730,406725
8089,6017,2072,296784
8944,6055,2889,468249
2553,1693,860,199302
726,604,122,22095
4650,3016,1634,125847
17857,13122,4735,1084600
8275,6054,2221,412699
9370,6753,2617,600188
3214,2310,904,84320
1598,1275,323,111078
17562,13168,4394,1340268
9852,8123,1729,491288
3866,2503,1363,199563
4881,4054,827,327806
893,679,214,48450
4186,2977,1209,425826
10602,6981,3621,1250832
6687,4994,1693,529840
1637,1228,409,71928
1571,1028,543,171840
5927,4349,1578,931500
9667,7504,2163,635000
5294,3967,1327,326893
17702,11119,6583,2283222
13333,10108,3225,1909026
13972,8870,5102,1690812
1341,864,477,111166
16026,12009,4017,484200
5628,3741,1887,784784
5401,3646,1755,415854
17234,11837,5397,787374
7081,5026,2055,492362
1382,1106,276,109373
12342,8722,3620,581742
9331,6350,2981,743688
4301,2802,1499,620352
5306,4362,944,252627
15978,12007,3971,874650
5018,3404,1614,243415
2818,1913,905,383400
3648,2653,995,298901
8373,5543,2830,636786
1419,1144,275,39680
6411,5070,1341,385280
6219,4516,1703,386883
8917,7048,1869,586659
2615,1756,859,419952
7470,4758,2712,740632
3014,1893,1121,237016
2496,1728,768,105768
2302,1895,407,190269
8067,5467,2600,661572
8910,6844,2066,774947
2977,2162,815,190944
3590,2273,1317,484110
2386,1528,858,279243
2340,1804,536,159600
9122,6421,2701,255496
15566,9772,5794,1122363
19446,12871,6575,1590927
14286,10580,3706,590281
4860,3065,1795,729270
2688,1918,770,281790
11189,7184,4005,2158512
2678,1994,684,131805
12613,8632,3981,1199091
9816,6446,3370,322392
2609,1962,647,193050
11854,9063,2791,900796
11874,7652,4222,612248
5279,3578,1701,294905
11578,7460,4118,564408
6558,4800,1758,502180
4890,3354,1536,869658
15515,10690,4825,1050430
4435,3253,1182,119113
1292,843,449,126368
12205,8549,3656,1687366
9816,8071,1745,673803
1723,1164,559,90630
14180,10211,3969,594520
2021,1568,453,173817
1453,1078,375,45998
3665,2940,725,170506
2721,1783,938,297055
972,765,207,54120
8330,5453,2877,780426
6682,4450,2232,478036
1968,1532,436,202062
12971,9283,3688,1567800
3408,2363,1045,351540
1737,1186,551,245284
5398,3388,2010,363306
12411,8150,4261,1879416
10803,7750,3053,1853864
1326,1056,270,59878
5381,3423,1958,539805
6811,5178,1633,558556
12793,9023,3770,1471120
2303,1486,817,209148
3352,2759,593,88365
2425,1816,609,301041
3983,2681,1302,527469
7125,5301,1824,970536
6876,5412,1464,299364
537,398,139,31122
4602,3696,906,177378
12280,7735,4545,691642
3814,3057,757,185070
1466,1192,274,33580
3475,2463,1012,272734
4292,3243,1049,377568
13115,10592,2523,617010
6802,4651,2151,876470
21990,14251,7739,3126600
702,507,195,115736
10088,7406,2682,953052
11656,8778,2878,727632
3151,2304,847,180513
15692,11666,4026,899805
658,529,129,36252
5970,4782,1188,96480
5692,4611,1081,136290
2780,2261,519,233481
12218,8011,4207,878688
5414,3855,1559,242048
4480,3150,1330,249120
4446,3031,1415,241920
6757,5559,1198,113390
4146,3061,1085,133518
2306,1756,550,259896
2529,1861,668,168137
9265,6529,2736,944160
