Duration,Clicks_Plus_Leads,Clicks,Leads,Revenue
29,10630,6658,3972,1636110
24,7996,6057,1939,799680
13,1452,1091,361,45030
26,1354,905,449,75504
17,5572,4531,1041,546871
6,9526,7614,1912,719422
12,5491,3864,1627,318435
11,1561,1093,468,73272
9,2561,1848,713,111294
22,5778,4362,1416,291456
10,1626,1352,274,42075
16,3820,2768,1052,511695
5,3707,2478,1229,311892
30,8116,6175,1941,461032
16,2550,1844,706,72772
13,11213,7278,3935,790938
21,4530,2906,1624,690116
7,1606,1239,367,124800
9,648,459,189,60960
18,1327,1058,269,23352
29,8914,7231,1683,311762
18,2684,1814,870,232750
21,4811,3700,1111,366876
21,6024,3852,2172,460992
22,2747,2049,698,161616
5,4740,3729,1011,642390
24,13091,9000,4091,507500
10,8778,6034,2744,441037
27,4447,3704,743,286615
16,8516,5722,2794,742045
23,15473,10859,4614,1381794
16,3849,2873,976,240656
19,5622,3754,1868,399408
13,2430,1911,519,180405
8,2125,1590,535,143104
6,8375,5488,2887,739370
16,1270,917,353,133096
6,3368,2193,1175,555427
28,9836,6830,3006,1403669
27,9571,7110,2461,432178
10,15952,10510,5442,1539720
17,14420,9825,4595,1717472
20,7665,6065,1600,324951
13,6137,3888,2249,407584
15,5454,3423,2031,884994
26,12363,10026,2337,913952
11,3097,2001,1096,402752
21,11657,8071,3586,885866
29,4088,2626,1462,623368
29,4441,2989,1452,625822
28,883,637,246,33522
8,1497,1025,472,118558
18,3237,2372,865,368530
27,4502,3511,991,223231
11,3485,2360,1125,453840
30,3326,2327,999,100956
16,1034,656,378,80073
20,9056,6219,2837,536130
18,2271,1641,630,279440
10,12901,9077,3824,851044
6,15504,11125,4379,1056020
13,2603,2154,449,195200
21,1628,1157,471,98530
19,4946,3187,1759,385782
23,3451,2511,940,199640
5,13502,8506,4996,2249856
17,8385,5609,2776,518331
10,4797,3293,1504,716764
30,5357,4351,1006,403062
14,743,530,213,118872
20,7678,5423,2255,724828
15,3890,2689,1201,351648
18,3517,2552,965,433936
9,3719,2432,1287,304326
20,12892,9920,2972,1410136
7,8308,5342,2966,806586
13,2716,2086,630,286467
5,5754,4666,1088,489228
24,2426,1953,473,126618
18,1681,1182,499,244644
19,7264,4578,2686,426537
20,4278,3248,1030,159375
21,6929,4526,2403,698190
9,5768,4315,1453,454860
23,5812,4262,1550,503040
30,10558,7705,2853,1505175
30,729,517,212,24182
14,12708,8372,4336,659208
22,2328,1861,467,69454
17,5230,3681,1549,326600
7,2137,1661,476,221801
24,3958,2630,1328,389550
10,1944,1517,427,151495
24,5811,4172,1639,575856
8,4302,3095,1207,203280
14,7833,6270,1563,367524
15,9877,6537,3340,530803
16,7618,5999,1619,208555
20,6109,4147,1962,605077
29,8661,6115,2546,486380
24,11095,8468,2627,313794
21,6374,5221,1153,255717
6,2977,2135,842,315296
11,11488,8987,2501,299065
12,4075,3288,787,308842
15,3304,2515,789,280988
14,2240,1598,642,208260
9,1268,1025,243,96690
6,11179,7279,3900,1056572
25,9524,6390,3134,1134870
7,684,556,128,42123
20,17393,14022,3371,824733
24,4872,3250,1622,750735
26,5871,4033,1838,1121988
28,4700,3377,1323,179172
15,2355,1581,774,89392
9,1608,1029,579,234906
21,14112,11028,3084,1186224
9,6106,4951,1155,464546
7,19227,13901,5326,1491387
9,2249,1532,717,111100
16,9048,5797,3251,1369640
13,5176,4124,1052,110489
12,10855,7720,3135,723250
14,1879,1381,498,101413
14,3996,3296,700,241299
25,5683,3992,1691,584065
20,3263,2209,1054,509565
5,1479,1179,300,23504
26,11094,8778,2316,373096
7,8047,5248,2799,506081
25,4433,3404,1029,144666
27,6882,4982,1900,535398
30,3012,1996,1016,142641
14,2069,1321,748,186732
21,16549,13210,3339,1003200
13,4524,2876,1648,726390
17,1408,1035,373,59072
19,10701,7497,3204,384356
23,9446,7302,2144,713460
9,14052,11114,2938,326970
8,2384,1805,579,315100
16,2703,1928,775,171390
16,933,715,218,82600
12,10860,7884,2976,1228466
14,825,682,143,41292
24,1890,1539,351,40200
29,3952,2927,1025,245244
18,1384,1027,357,119081
13,7099,5786,1313,164640
11,6208,4538,1670,447810
14,14147,10884,3263,454260
30,23744,14868,8876,2827524
22,963,796,167,69531
18,5724,3810,1914,220499
24,10465,6866,3599,666582
13,3251,2269,982,285670
29,3982,3194,788,114056
9,15319,12169,3150,703009
28,3971,2511,1460,677768
6,10604,6860,3744,1024128
8,10974,7760,3214,866184
26,3020,2425,595,140740
5,11464,8195,3269,676460
21,9170,6273,2897,388365
25,5334,3733,1601,321936
30,5108,3655,1453,261020
20,2076,1315,761,162450
7,11882,8059,3823,832602
19,1351,1123,228,52200
30,3760,2513,1247,111520
12,7210,5531,1679,159046
11,3041,2514,527,213231
6,4697,2937,1760,624124
6,11978,9095,2883,463684
18,7819,5225,2594,259368
23,1802,1263,539,116974
25,4311,2820,1491,459669
6,1891,1540,351,93818
21,3810,2423,1387,694032
7,670,477,193,42441
6,8459,6159,2300,255248
6,5474,4234,1240,319472
11,2975,1949,1026,286925
7,13585,9175,4410,1766793
21,5298,3505,1793,751800
8,7534,6138,1396,446898
10,3504,2392,1112,340430
13,12700,10243,2457,271082
8,4463,3442,1021,297168
9,3448,2682,766,149634
11,1441,1024,417,170610
16,8541,5490,3051,982940
16,10358,7037,3321,569981
22,6521,4522,1999,591240
14,3261,2337,924,86152
10,3118,2351,767,153216
19,3343,2627,716,178450
24,18317,13381,4936,1393346
13,4981,3450,1531,230724
13,5613,3641,1972,482664
19,1767,1253,514,206976
29,10415,8323,2092,533750
9,10022,6946,3076,1475866
12,5498,3970,1528,536965
10,4783,3232,1551,170775
20,17741,13029,4712,1463168
25,4577,3091,1486,500535
13,2304,1653,651,112518
24,5334,3716,1618,182500
27,4796,3390,1406,216776
11,7829,5336,2493,280830
22,14748,10498,4250,1620369
17,8271,6343,1928,447600
27,7458,4731,2727,439930
23,3786,2909,877,240120
11,8613,6386,2227,298200
22,2936,1886,1050,126351
16,9578,6629,2949,743512
15,13503,9341,4162,737280
9,5519,4033,1486,322000
13,2892,2108,784,195286
28,1011,678,333,72782
14,18050,11282,6768,3520822
30,2137,1371,766,80320
6,4821,3443,1378,727984
14,6514,5119,1395,482680
5,314,247,67,16944
12,5057,3832,1225,525358
8,2414,1524,890,321216
10,2259,1434,825,182664
30,4627,3739,888,312214
28,2267,1715,552,119097
17,8136,6645,1491,220745
26,1155,913,242,118408
15,13598,8972,4626,936576
22,3065,2469,596,263856
17,3117,2184,933,217665
11,1532,1008,524,244296
13,11416,7300,4116,903792
5,9170,6057,3113,823832
18,17413,11146,6267,1825776
27,8265,6530,1735,396951
12,8550,6000,2550,510040
23,958,638,320,131306
8,3689,2463,1226,232596
6,14732,11858,2874,869271
21,3566,2701,865,113590
16,3805,3122,683,52056
13,4423,2914,1509,261807
6,10639,6835,3804,918575
26,9381,6239,3142,1151864
12,16252,10352,5900,1855328
7,5581,3589,1992,643632
25,14316,9147,5169,1595492
13,5084,3987,1097,146187
17,3105,2514,591,94163
30,3337,2458,879,126024
9,4736,3379,1357,666590
19,11050,7740,3310,596207
5,519,354,165,43920
10,2795,1915,880,110538
21,538,447,91,15750
30,1310,1026,284,91540
25,8355,6063,2292,258272
21,10548,8697,1851,192231
19,9498,6018,3480,1707980
16,11558,9058,2500,863927
19,7987,5684,2303,500256
23,5005,4002,1003,167388
10,11090,8575,2515,577066
12,5593,4145,1448,175182
11,7481,4858,2623,1422864
28,9753,7787,1966,688820
5,13360,9536,3824,525990
7,7981,6096,1885,416053
8,12123,9451,2672,297246
26,958,778,180,103480
19,3478,2340,1138,249591
9,4410,2798,1612,159850
27,3665,2906,759,140248
5,4582,3387,1195,234324
27,11403,8946,2457,230724
17,1888,1477,411,100695
7,17859,11279,6580,2544395
11,6387,4401,1986,347601
8,8793,5636,3157,984096
8,2535,1684,851,200658
21,2074,1656,418,106296
12,3274,2271,1003,340480
8,14267,11715,2552,653310
23,1616,1212,404,159666
12,8309,5643,2666,628144
26,1478,1131,347,144440
9,1932,1411,521,68040
17,12927,9840,3087,484753
20,2610,1891,719,146556
12,16062,10119,5943,924000
22,3587,2586,1001,250432
22,9254,7148,2106,240792
16,4897,3144,1753,432920
25,11142,7824,3318,915860
20,1081,769,312,37349
9,4784,3949,835,228816
29,2217,1390,827,171120
12,4029,2654,1375,128499
15,3642,2735,907,145410
21,4838,3970,868,229008
19,7756,5140,2616,1391984
12,1846,1509,337,44034
6,5022,3344,1678,402192
17,3736,2922,814,402750
30,15940,10162,5778,744650
11,1929,1374,555,171720
16,15895,10315,5580,2564984
29,4874,3230,1644,422220
24,7550,5648,1902,1080750
22,4587,3188,1399,605784
11,3817,3129,688,140140
16,13365,8903,4462,1106784
30,1039,754,285,62496
13,4181,3455,726,425257
24,9174,6523,2651,1406369
27,4545,2887,1658,423852
21,5185,3549,1636,354438
30,12245,7952,4293,513040
8,4124,2971,1153,429875
14,16763,12246,4517,978948
6,4125,3391,734,167420
6,2584,2153,431,117832
27,3839,2793,1046,104960
13,9026,6363,2663,883949
10,14623,9186,5437,1003765
7,8668,6039,2629,1154862
19,1258,842,416,119574
24,6876,5680,1196,132240
12,15234,10130,5104,620334
15,3122,2100,1022,237986
24,9285,5854,3431,675132
13,8391,6343,2048,282370
21,8848,6205,2643,504504
26,3644,2995,649,238288
19,2657,2054,603,271743
26,2511,1914,597,236285
9,6490,5207,1283,429088
8,12068,8990,3078,814740
6,1753,1294,459,90095
26,8145,5181,2964,531432
23,2678,2197,481,211546
17,2723,1757,966,157080
13,8556,6239,2317,393760
24,2724,2103,621,223440
28,16856,10868,5988,2031757
20,10216,8418,1798,483000
18,6047,4227,1820,439856
16,7950,5518,2432,754236
14,1646,1150,496,107503
25,6505,5206,1299,646032
8,2883,1895,988,150612
19,11528,7682,3846,545136
8,11679,9218,2461,959334
14,9787,6410,3377,458568
6,1657,1267,390,150420
26,3914,3255,659,82455
15,8998,5866,3132,371420
12,4588,3031,1557,823244
27,10019,7992,2027,289940
26,14773,10499,4274,1168025
11,1479,987,492,111996
26,4167,3297,870,358995
16,617,510,107,30299
14,6405,4555,1850,257796
22,6298,3981,2317,765408
7,15304,11465,3839,639930
20,7036,5015,2021,268830
11,5080,3871,1209,422712
16,6223,4238,1985,262656
10,6529,4359,2170,695044
20,13050,10177,2873,521768
29,3536,2421,1115,502030
13,3535,2847,688,288834
30,3054,2279,775,138852
19,7955,5419,2536,719739
15,7986,5755,2231,217115
15,8687,5613,3074,580692
13,2274,1536,738,79299
15,11942,7738,4204,848421
20,4495,3084,1411,253924
15,3299,2497,802,151348
5,14614,12059,2555,773045
6,4460,2987,1473,316443
14,1899,1443,456,67805
23,7418,4867,2551,1320747
29,14586,9388,5198,2050050
10,849,706,143,18172
21,8237,5531,2706,1105804
7,2790,1933,857,253648
20,6125,3956,2169,728325
23,4236,3525,711,260100
13,8422,6264,2158,999119
17,11501,8732,2769,696808
14,7183,5210,1973,537648
6,7461,5310,2151,331835
21,15488,11402,4086,1205343
30,11456,8082,3374,810040
12,4307,2914,1393,658833
16,976,667,309,65826
16,14459,9507,4952,1244250
12,2037,1341,696,276055
22,2132,1695,437,49946
16,2061,1488,573,242722
29,2977,1912,1065,172425
8,8705,6107,2598,1340864
24,7508,5349,2159,765612
26,10645,7427,3218,1276535
8,1245,828,417,92587
16,3703,2577,1126,530312
11,1252,963,289,64277
9,1924,1272,652,242553
5,2086,1397,689,140967
23,5846,4612,1234,436789
30,1571,1001,570,105559
9,6497,5228,1269,496120
8,12624,8255,4369,939808
25,9897,7253,2644,787815
25,3092,2281,811,203445
16,8372,6675,1697,270413
16,11411,7234,4177,490875
19,10676,8677,1999,282528
11,6285,4064,2221,651420
26,8357,6290,2067,529818
25,11094,6988,4106,786424
5,14831,10815,4016,838794
18,12341,9019,3322,546427
24,12015,9350,2665,838071
19,9114,6637,2477,348634
21,1271,1024,247,86940
19,2874,2139,735,176279
14,2722,2143,579,317191
17,1853,1176,677,190680
20,2664,1686,978,177775
29,1748,1102,646,298146
30,8963,6442,2521,810081
11,9696,7006,2690,550732
21,2164,1484,680,312017
7,5917,4410,1507,138320
8,4925,3455,1470,825552
30,6460,4786,1674,520695
8,1139,843,296,71890
28,967,682,285,88560
7,10330,7729,2601,1093696
26,11859,8535,3324,862190
11,4052,3165,887,322500
30,11176,8481,2695,1578186
13,3001,2074,927,224073
16,9207,5889,3318,326606
14,7728,5231,2497,698985
8,1849,1232,617,171920
8,12772,8106,4666,1032099
13,7750,6284,1466,339584
28,5225,3794,1431,595467
12,1377,941,436,93863
25,1771,1455,316,27494
22,19419,12191,7228,2557500
30,2919,1933,986,294224
9,7530,5429,2101,462890
27,4012,3058,954,74060
25,16921,11345,5576,1866759
17,8625,5782,2843,1723560
20,6407,4621,1786,551426
28,17616,11704,5912,1717836
25,8475,6729,1746,244640
17,5685,3778,1907,1047738
12,9847,8177,1670,224700
19,1288,857,431,102147
15,5350,4170,1180,113032
5,1521,1001,520,209442
16,11474,7431,4043,422964
11,1446,960,486,59850
16,7629,6329,1300,508896
18,12842,8772,4070,1493314
22,6454,4308,2146,248496
24,7457,5637,1820,180320
9,1821,1199,622,181335
18,9306,6470,2836,833742
20,7513,6191,1322,390241
13,3395,2463,932,234000
13,960,715,245,97197
9,5456,4092,1364,455994
30,11585,8024,3561,231889
30,3089,2414,675,143877
16,1797,1131,666,65475
30,7536,5282,2254,1068012
25,3536,2583,953,437019
28,12745,8510,4235,1498473
21,8185,6339,1846,495635
13,7814,5389,2425,612522
16,7000,5085,1915,368896
25,2130,1334,796,112299
27,2439,2014,425,172620
21,9190,7265,1925,526838
5,2550,2051,499,71253
22,8360,6805,1555,476933
8,8855,5885,2970,340105
23,3282,2304,978,155248
13,8865,6162,2703,381634
20,9537,7120,2417,374245
23,4530,3456,1074,363392
13,9494,6965,2529,616174
6,3901,2686,1215,286944
21,4068,2614,1454,129024
11,5875,4009,1866,358197
14,12292,7782,4510,903105
20,2923,2124,799,139125
12,5425,4443,982,119274
20,10824,8426,2398,1182522
14,3215,2578,637,93170
13,3956,2685,1271,352836
14,9525,6790,2735,640080
15,8308,6515,1793,611340
27,5288,3999,1289,521894
7,1341,1077,264,64269
30,10224,7281,2943,378162
23,3704,2333,1371,416880
24,7947,6405,1542,527142
29,9442,7272,2170,589577
20,1429,1063,366,77085
6,7397,4739,2658,1634599
22,10283,7530,2753,543291
21,10831,8964,1867,206724
28,3328,2702,626,140358
13,3104,2104,1000,521850
13,1399,1151,248,101473
11,17635,11785,5850,865356
22,1482,1212,270,113004
23,7468,4939,2529,704740
21,4779,3383,1396,363068
27,16511,11902,4609,1357020
29,4460,3010,1450,544394
9,7090,4531,2559,728854
12,2503,2075,428,189394
18,1711,1091,620,61568
8,2957,2137,820,275377
27,4123,3288,835,98898
5,547,437,110,58598
24,10909,8615,2294,781326
22,2186,1449,737,216192
20,2574,1616,958,124400
24,4530,3493,1037,141966
8,4859,3409,1450,835518
30,10555,7402,3153,992376
29,6934,5510,1424,477880
14,5468,3647,1821,377607
6,4525,3232,1293,298706
20,4947,3381,1566,496288
21,11380,8407,2973,657646
28,10536,8635,1901,618460
10,4446,3533,913,204006
9,11477,9536,1941,719264
17,2454,1654,800,107976
18,6073,3960,2113,1076160
7,4360,3015,1345,432450
12,12938,8132,4806,1637610
18,9768,7074,2694,784404
16,9927,6392,3535,426309
28,11631,7664,3967,1139670
25,10460,6796,3664,671636
8,4206,2797,1409,221550
9,894,716,178,58563
15,4193,2825,1368,250002
16,6406,5105,1301,322245
22,2181,1367,814,243144
18,829,612,217,93600
22,6434,5317,1117,589182
18,7499,5184,2315,264252
11,2331,1810,521,88494
17,3694,2467,1227,585170
14,12876,8233,4643,446332
5,12278,8514,3764,1385472
16,3980,2772,1208,271329
13,2936,1979,957,349811
13,9118,5960,3158,1601490
12,4518,3624,894,429084
29,6619,4455,2164,341950
15,2229,1469,760,168192
16,7022,4481,2541,353732
12,5178,4309,869,238560
29,3675,2757,918,183180
21,9774,6471,3303,545490
27,3916,2813,1103,340268
16,1486,951,535,188046
20,15873,12842,3031,778362
24,2823,2331,492,119547
24,15335,10039,5296,512097
27,1918,1597,321,131835
16,7803,5368,2435,893040
23,10915,8938,1977,859897
20,4481,2884,1597,818514
17,7463,5242,2221,1189134
30,5313,3448,1865,546100
11,4531,3614,917,211636
5,10600,7205,3395,404808
23,3793,2732,1061,131670
12,13337,9843,3494,984960
7,15391,12594,2797,955835
21,1359,1103,256,72050
18,2337,1878,459,134121
15,11704,7704,4000,1062360
23,10925,6889,4036,849858
21,4236,3286,950,175240
16,3433,2420,1013,434259
22,16460,10861,5599,856125
30,4224,3128,1096,372690
30,4448,3633,815,234794
6,4434,3088,1346,183785
16,1129,800,329,178816
22,5869,4200,1669,566904
10,8427,6214,2213,683825
26,4448,3034,1414,737838
23,2998,2018,980,267734
30,1869,1532,337,112347
7,3095,2480,615,59160
24,8254,5415,2839,610944
8,4901,3395,1506,725994
28,1271,969,302,134871
30,1760,1182,578,69692
6,4308,2866,1442,147936
20,2643,1804,839,259584
17,9857,6375,3482,796650
30,6112,4532,1580,244800
25,8482,5841,2641,433472
23,11838,8639,3199,1431487
20,4021,3228,793,81620
16,3346,2136,1210,365135
27,1374,1008,366,98044
26,3096,2253,843,273258
12,6758,4490,2268,344400
30,13858,10438,3420,971496
11,6004,4680,1324,262548
17,4201,3231,970,214557
26,13067,8996,4071,1434954
21,10005,8041,1964,299495
8,7387,5873,1514,649438
25,1274,815,459,143022
17,2365,1552,813,316360
24,2415,1986,429,202230
27,1120,882,238,40470
20,7092,4599,2493,669942
19,8307,6606,1701,956928
13,12290,8244,4046,427440
9,5958,3781,2177,509627
6,2846,1825,1021,340032
19,1441,920,521,122180
14,17268,12138,5130,878163
29,3428,2635,793,405876
14,3823,3024,799,287448
8,5494,3562,1932,313500
6,1790,1479,311,128592
8,3201,2212,989,290334
24,6770,5591,1179,307998
22,2010,1438,572,87174
17,1615,1241,374,61152
6,8958,5867,3091,680169
15,2118,1692,426,223636
10,2450,1866,584,222651
22,4699,3222,1477,297558
10,1869,1542,327,97340
8,4789,3991,798,282150
9,7186,4849,2337,831168
17,4380,3305,1075,370762
29,4575,3268,1307,670892
20,2836,2018,818,87327
20,10066,6577,3489,578336
18,6954,4732,2222,416900
16,4747,3495,1252,281012
18,5332,3437,1895,337757
15,5863,4175,1688,491040
16,993,772,221,14807
20,13478,9092,4386,1944766
13,4095,2746,1349,391004
21,15138,11138,4000,1396917
17,13021,9112,3909,1033634
13,2202,1567,635,64974
30,1683,1272,411,70437
25,6373,4471,1902,567936
18,8992,7431,1561,493696
28,2738,1785,953,454152
11,12934,8512,4422,626520
28,5304,4373,931,234179
6,4223,2953,1270,342144
21,10319,8522,1797,572900
25,6216,4514,1702,517880
7,11286,7616,3670,1446035
29,6369,4836,1533,392832
17,11929,7627,4302,1090872
15,15635,10612,5023,1273266
16,4162,2911,1251,300354
19,3544,2420,1124,295501
25,13242,9625,3617,829668
7,4795,3148,1647,332488
8,4682,3310,1372,669980
14,5174,3617,1557,649788
13,11703,7754,3949,1060116
25,4290,3417,873,116675
17,3883,2520,1363,218622
20,9071,7428,1643,118699
19,2672,1993,679,98800
21,3317,2683,634,104720
28,6818,5508,1310,517377
12,6690,5210,1480,230171
15,4039,2774,1265,479283
17,1308,920,388,80352
6,3860,3095,765,249096
6,17813,13063,4750,912286
9,1653,1189,464,155818
7,1876,1529,347,47121
13,6359,4227,2132,238917
12,2319,1589,730,137472
10,5306,3762,1544,588456
15,3232,2362,870,192879
18,5997,4532,1465,143872
23,5125,3595,1530,444744
25,10288,8550,1738,515504
30,9617,7708,1909,1056316
17,8752,5553,3199,470893
16,8247,5988,2259,729950
26,6515,5122,1393,255116
29,3194,2402,792,186466
11,888,582,306,78184
18,6935,4693,2242,526661
15,12989,9617,3372,501428
20,7701,5986,1715,288273
5,7713,5728,1985,570623
30,1597,1294,303,95823
25,13379,9376,4003,805185
7,12620,8041,4579,2350088
29,12364,7992,4372,2098888
13,4045,2590,1455,121670
25,14345,10441,3904,473928
13,9324,6138,3186,472804
11,14603,9726,4877,1380338
12,5377,4094,1283,242355
15,1700,1240,460,202048
14,5473,3640,1833,310464
15,2127,1747,380,84960
5,4404,2994,1410,249417
15,6660,4572,2088,461922
17,2144,1615,529,241927
23,6349,4352,1997,397296
7,2536,1787,749,66990
14,5838,4592,1246,350052
6,4250,2887,1363,443750
17,14162,9786,4376,1904285
21,8586,6574,2012,506656
15,14301,9762,4539,749012
25,5816,4151,1665,492880
9,10171,6780,3391,342378
12,5118,4101,1017,496422
14,7925,5933,1992,467400
28,6693,4691,2002,880382
18,5383,4384,999,408450
7,16317,11904,4413,1109520
11,7237,5722,1515,245070
5,10568,7945,2623,1163908
6,7532,4839,2693,843898
11,1735,1088,647,143956
10,2091,1700,391,72450
16,1587,1160,427,217617
13,2624,1734,890,259692
22,7633,6065,1568,643839
25,2389,1675,714,71815
19,2479,1593,886,307131
28,2712,2132,580,331429
28,2298,1461,837,249690
13,1425,1106,319,94165
11,9724,6497,3227,1234800
28,4841,3810,1031,305422
29,9653,6170,3483,961537
20,8333,6466,1867,961350
8,1890,1376,514,246350
9,9709,6190,3519,1554315
25,12831,8802,4029,564276
6,5710,3702,2008,311049
17,6201,4460,1741,271656
18,9847,7862,1985,314600
9,8053,5677,2376,683298
27,6546,4252,2294,692160
10,6837,4826,2011,291096
30,8673,5619,3054,1202064
22,4340,2768,1572,395752
19,4363,3097,1266,310800
16,9841,7166,2675,373290
16,4419,2936,1483,466993
16,14099,10190,3909,673836
20,5070,3365,1705,330057
25,6672,5068,1604,892032
23,10944,8167,2777,1233180
23,3311,2193,1118,322635
20,7780,5411,2369,597930
19,8668,5932,2736,656837
24,3081,2290,791,174309
17,1656,1366,290,147870
20,532,411,121,52731
10,5326,3359,1967,264845
23,4786,3588,1198,288600
28,10008,7695,2313,1172360
14,5307,3739,1568,363549
23,5127,3641,1486,198129
18,5865,4155,1710,681462
25,4830,3786,1044,255500
15,12961,8224,4737,2518362
20,6189,4102,2087,493500
17,5752,4207,1545,336195
6,22307,14549,7758,1429036
6,877,605,272,104748
13,3937,3184,753,165044
12,3547,2290,1257,450735
28,5342,4162,1180,272993
22,782,525,257,146264
30,3120,1952,1168,652832
21,10358,8337,2021,608364
17,1723,1160,563,64467
26,5052,3434,1618,751623
20,1812,1302,510,150094
28,4477,3657,820,220851
13,6053,4242,1811,877767
12,7220,4732,2488,1432485
27,4592,2871,1721,515242
13,4156,3010,1146,379478
19,7122,4573,2549,839433
18,7899,5202,2697,467544
17,9233,6986,2247,393372
14,9924,7658,2266,286778
21,7159,5634,1525,663940
29,10413,6634,3779,1027872
8,8133,5430,2703,833612
6,2404,1553,851,116732
29,5419,3833,1586,624757
29,3951,2958,993,241824
9,7334,5534,1800,252784
26,5583,4425,1158,417536
21,4330,3255,1075,193772
26,7540,5194,2346,667381
14,14450,10818,3632,694260
28,3722,2611,1111,218530
18,4979,3565,1414,168057
7,2732,1835,897,229284
14,9743,7610,2133,1242216
27,9675,8034,1641,399090
25,5758,3954,1804,439331
24,12466,7794,4672,1709708
9,11858,8560,3298,733905
12,2324,1605,719,112888
17,4474,3151,1323,194816
30,9072,6452,2620,399265
21,3537,2665,872,158700
26,4896,3747,1149,284710
29,931,654,277,72956
24,6294,5107,1187,221540
17,10993,8943,2050,695739
21,7912,5023,2889,561867
13,2869,2122,747,131246
26,3343,2610,733,148764
28,1260,850,410,202230
9,4622,3518,1104,631014
23,2733,2134,599,158472
10,4597,3295,1302,425536
27,4249,3442,807,184842
14,8785,6805,1980,770412
7,8233,6573,1660,328328
12,4377,3075,1302,389187
22,13541,9081,4460,1099890
16,1485,942,543,142614
22,9451,5933,3518,1631450
26,3937,2927,1010,203944
22,7650,6108,1542,764385
21,2909,2183,726,70060
5,2831,2255,576,126283
9,7150,5564,1586,382161
26,10060,6584,3476,795990
16,2939,2403,536,39919
14,8407,5849,2558,1226750
13,19416,13388,6028,1475874
17,15800,9910,5890,2127288
9,8918,6883,2035,364375
26,7413,4668,2745,228760
26,2037,1610,427,88780
21,10019,8010,2009,727038
14,8405,6478,1927,666528
14,5620,3723,1897,519816
21,4213,3435,778,248031
25,4698,3242,1456,385801
20,9709,6822,2887,619938
26,1239,829,410,170544
17,5763,4485,1278,319396
10,11274,9361,1913,391395
8,11525,7861,3664,1076868
17,13037,9327,3710,587197
5,1817,1252,565,126895
14,5809,3842,1967,323244
21,6434,4103,2331,619464
5,5828,3665,2163,738679
17,1251,900,351,56718
19,17089,13340,3749,2033532
25,2426,1522,904,187407
27,13722,8998,4724,2372722
21,5988,4100,1888,589457
22,3663,2666,997,433557
23,2250,1635,615,116994
21,913,579,334,62050
9,5526,4028,1498,321021
26,5446,4406,1040,288189
10,6786,5620,1166,506880
16,5074,3711,1363,206769
29,3180,2092,1088,491232
13,1817,1296,521,114080
16,2071,1668,403,144342
5,13943,8899,5044,1975229
13,2935,2395,540,71685
27,9766,7438,2328,238596
12,3402,2690,712,149994
18,4484,3116,1368,143640
30,1951,1350,601,310758
8,3899,3203,696,100320
15,2149,1692,457,81090
19,5214,3769,1445,709722
6,3051,2298,753,301920
28,12577,8357,4220,1094112
26,8193,6351,1842,460530
22,16822,11949,4873,2001251
7,1710,1121,589,283613
16,14674,11988,2686,588777
10,5500,4454,1046,179280
20,2095,1543,552,118976
30,6306,5144,1162,303416
19,11112,8506,2606,999400
8,1776,1369,407,164084
30,3133,2404,729,142720
14,12730,9551,3179,750092
12,5425,4239,1186,474103
7,3563,2411,1152,521520
26,3764,2582,1182,418278
10,5806,4306,1500,418557
